Year,Week,UC_name,cases,week_start,own_lag1,own_lag2,own_lag3,own_lag4,own_roll2,own_roll4,own_roll8,own_delta,city_cases,city_lag1,city_lag2,city_roll4,nb_sum1,nb_mean1,nb_max1,nb_sum2,nb_mean2,nb_max2,nb_delta,temp_mean,temp_max,temp_min,humidity,rain,rain_days,pressure,wind,temp_mean_lag2,temp_mean_lag4,temp_mean_lag6,temp_mean_lag8,humidity_lag2,humidity_lag4,humidity_lag6,humidity_lag8,rain_lag2,rain_lag4,rain_lag6,rain_lag8,rain_days_lag2,rain_days_lag4,rain_days_lag6,rain_days_lag8,rain_c8,week_sin,week_cos,target
2023,23,MOHANPURA,0,2023-06-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17142857142857,35.642857142857146,22.542857142857144,45.285714285714285,0.0,0,1002.1285714285714,7.1571428571428575,27.32857142857143,25.62857142857143,24.214285714285715,25.271428571428572,44.285714285714285,37.42857142857143,42.714285714285715,36.57142857142857,33.800000000000004,3.6,2.1,0.0,3.0,1.0,0.0,0.0,142.70000000000002,0.35460488704253584,-0.9350162426854147,0.0
2023,24,MOHANPURA,0,2023-06-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.17142857142857,37.285714285714285,24.82857142857143,45.142857142857146,2.4,1,999.6285714285714,7.3,24.042857142857144,28.685714285714287,21.1,21.17142857142857,62.142857142857146,32.57142857142857,65.71428571428571,57.0,29.7,0.3,30.3,42.9,2.0,0.0,5.0,4.0,142.70000000000002,0.23931566428755768,-0.970941817426052,0.0
2023,25,MOHANPURA,0,2023-06-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.05714285714286,40.4,28.142857142857142,50.57142857142857,16.3,1,998.4,8.685714285714285,29.17142857142857,27.32857142857143,25.62857142857143,24.214285714285715,45.285714285714285,44.285714285714285,37.42857142857143,42.714285714285715,0.0,33.800000000000004,3.6,2.1,0.0,3.0,1.0,0.0,102.2,0.12053668025532308,-0.992708874098054,0.0
2023,26,MOHANPURA,0,2023-06-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.071428571428573,34.41428571428572,23.714285714285715,66.57142857142857,44.1,4,1001.1714285714286,6.828571428571428,31.17142857142857,24.042857142857144,28.685714285714287,21.1,45.142857142857146,62.142857142857146,32.57142857142857,65.71428571428571,2.4,29.7,0.3,30.3,1.0,2.0,0.0,5.0,116.4,-3.216245299353273e-16,-1.0,0.0
2023,27,MOHANPURA,0,2023-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.685714285714287,32.528571428571425,23.7,73.57142857142857,56.0,4,1001.3285714285714,7.528571428571429,34.05714285714286,29.17142857142857,27.32857142857143,25.62857142857143,50.57142857142857,45.285714285714285,44.285714285714285,37.42857142857143,16.3,0.0,33.800000000000004,3.6,1.0,0.0,3.0,1.0,130.20000000000002,-0.12053668025532283,-0.992708874098054,0.0
2023,28,MOHANPURA,0,2023-07-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.842857142857145,34.1,23.9,70.57142857142857,20.1,3,1001.4428571428572,6.6000000000000005,29.071428571428573,31.17142857142857,24.042857142857144,28.685714285714287,66.57142857142857,45.142857142857146,62.142857142857146,32.57142857142857,44.1,2.4,29.7,0.3,4.0,1.0,2.0,0.0,182.60000000000002,-0.23931566428755743,-0.9709418174260521,0.0
2023,29,MOHANPURA,0,2023-07-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.185714285714287,32.528571428571425,24.685714285714287,80.0,72.6,6,1002.5,6.242857142857143,27.685714285714287,34.05714285714286,29.17142857142857,27.32857142857143,73.57142857142857,50.57142857142857,45.285714285714285,44.285714285714285,56.0,16.3,0.0,33.800000000000004,4.0,1.0,0.0,3.0,202.40000000000003,-0.3546048870425356,-0.9350162426854148,0.0
2023,30,MOHANPURA,0,2023-07-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,3.0,3.5,1.0,0.25,1.0,0.0,0.0,0.0,0.25,27.614285714285717,31.771428571428572,24.0,79.42857142857143,49.4,5,1002.0,5.385714285714286,28.842857142857145,29.071428571428573,31.17142857142857,24.042857142857144,70.57142857142857,66.57142857142857,45.142857142857146,62.142857142857146,20.1,44.1,2.4,29.7,3.0,4.0,1.0,2.0,241.20000000000002,-0.46472317204376806,-0.8854560256532101,0.0
2023,31,MOHANPURA,0,2023-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,7.0,6.5,6.0,1.5,4.0,1.0,0.25,1.0,1.25,28.942857142857143,33.785714285714285,24.52857142857143,76.71428571428571,49.7,6,999.1,5.385714285714286,28.185714285714287,27.685714285714287,34.05714285714286,29.17142857142857,80.0,73.57142857142857,50.57142857142857,45.285714285714285,72.6,56.0,16.3,0.0,6.0,4.0,1.0,0.0,260.9,-0.5680647467311556,-0.8229838658936565,0.0
2023,32,MOHANPURA,0,2023-08-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,14.0,8.5,0.0,0.0,0.0,6.0,1.5,4.0,-1.5,28.814285714285713,33.58571428571428,24.3,76.42857142857143,39.8,5,999.9857142857144,6.171428571428572,27.614285714285717,28.842857142857145,29.071428571428573,31.17142857142857,79.42857142857143,70.57142857142857,66.57142857142857,45.142857142857146,49.4,20.1,44.1,2.4,5.0,3.0,4.0,1.0,310.6,-0.663122658240795,-0.7485107481711013,0.0
