Year,Week,temp_mean,temp_max,temp_min,humidity,rain,rain_days,pressure,wind
2019,51,9.9,16.54285714285714,5.085714285714286,68.28571428571429,0.2,0,1019.1,6.442857142857143
2019,52,7.528571428571429,14.885714285714286,2.9,81.0,0.0,0,1019.0571428571428,5.171428571428572
2020,1,8.1,14.057142857142859,3.9714285714285715,75.71428571428571,2.6,1,1020.8714285714286,6.157142857142857
2020,2,7.857142857142857,12.671428571428573,4.1571428571428575,77.85714285714286,18.400000000000002,3,1019.3857142857142,7.528571428571429
2020,3,9.171428571428573,14.542857142857144,5.128571428571428,77.71428571428571,31.2,3,1016.8285714285714,7.728571428571429
2020,4,9.442857142857141,14.642857142857142,4.8,67.42857142857143,8.7,1,1018.9,8.67142857142857
2020,5,9.6,14.9,5.628571428571428,79.85714285714286,63.39999999999999,2,1016.4142857142857,7.1571428571428575
2020,6,9.571428571428571,16.228571428571428,4.385714285714285,68.14285714285714,1.3,1,1019.0428571428572,7.357142857142857
2020,7,13.5,19.7,8.042857142857143,64.14285714285714,2.5,1,1017.6285714285714,10.571428571428571
2020,8,14.214285714285714,21.3,8.857142857142858,66.28571428571429,9.4,2,1017.342857142857,9.842857142857143
2020,9,15.385714285714286,21.285714285714285,10.957142857142857,73.28571428571429,36.3,2,1014.7714285714285,7.614285714285715
2020,10,13.799999999999999,18.857142857142858,10.799999999999999,79.14285714285714,63.2,5,1013.157142857143,8.842857142857143
2020,11,13.814285714285715,19.62857142857143,9.142857142857142,73.0,34.800000000000004,4,1014.2714285714285,10.12857142857143
2020,12,17.057142857142857,23.342857142857145,11.685714285714285,72.85714285714286,8.7,1,1014.3000000000001,7.0
2020,13,16.62857142857143,21.12857142857143,12.442857142857141,77.14285714285714,98.8,3,1013.7714285714285,8.17142857142857
2020,14,16.928571428571427,23.185714285714287,12.2,73.14285714285714,23.5,4,1013.657142857143,7.628571428571428
2020,15,19.785714285714285,26.185714285714287,13.928571428571429,65.85714285714286,5.8999999999999995,2,1012.9714285714286,8.357142857142858
2020,16,20.485714285714288,25.571428571428573,15.828571428571427,71.28571428571429,44.7,5,1010.1857142857143,8.128571428571428
2020,17,22.185714285714287,27.914285714285715,16.271428571428572,64.85714285714286,3.0,1,1008.6999999999999,6.057142857142857
2020,18,23.32857142857143,29.099999999999998,18.17142857142857,67.85714285714286,20.4,3,1009.9142857142857,8.114285714285714
2020,19,24.17142857142857,30.457142857142856,18.385714285714283,57.714285714285715,1.4000000000000001,1,1008.1428571428571,7.428571428571429
2020,20,24.342857142857145,30.4,18.657142857142855,62.714285714285715,19.8,4,1007.7142857142857,9.671428571428573
2020,21,26.62857142857143,33.042857142857144,20.099999999999998,47.142857142857146,0.3,0,1003.1,9.200000000000001
2020,22,27.428571428571427,33.371428571428574,22.214285714285715,55.142857142857146,9.6,2,1002.8000000000001,8.285714285714286
2020,23,25.457142857142856,30.414285714285715,20.442857142857143,65.14285714285714,6.8,1,1004.842857142857,6.671428571428571
2020,24,28.657142857142855,34.371428571428574,23.3,57.714285714285715,5.3,2,1001.342857142857,7.0
2020,25,30.685714285714287,37.68571428571429,23.414285714285715,42.857142857142854,0.0,0,997.6857142857143,6.485714285714286
2020,26,29.32857142857143,34.31428571428571,25.214285714285715,69.14285714285714,45.7,3,1000.2571428571429,6.114285714285714
2020,27,30.02857142857143,35.72857142857143,24.97142857142857,61.285714285714285,26.299999999999997,2,998.4714285714286,6.1000000000000005
2020,28,29.82857142857143,34.642857142857146,25.0,66.57142857142857,15.5,3,998.4,6.6000000000000005
2020,29,30.057142857142857,34.642857142857146,25.485714285714288,67.42857142857143,17.9,2,999.8285714285714,5.428571428571429
2020,30,27.642857142857142,32.142857142857146,23.857142857142858,77.0,46.2,6,1002.3571428571429,6.885714285714286
2020,31,29.0,33.285714285714285,24.857142857142858,76.57142857142857,66.8,6,1000.8571428571429,6.557142857142857
2020,32,30.32857142857143,34.457142857142856,26.414285714285715,72.57142857142857,16.200000000000003,4,997.4142857142857,6.1571428571428575
2020,33,29.25714285714286,33.371428571428574,25.714285714285715,79.42857142857143,33.8,6,997.6857142857143,6.785714285714286
