UC_name,neighbour
Ratta Amral,NEW KATARIAN
Ratta Amral,SAIDPUR SCHEME
SAIDPUR SCHEME,DHOK HASSU(SOUTH)
SAIDPUR SCHEME,DHOK MANGTAL
SAIDPUR SCHEME,DHOK NAJJU
SAIDPUR SCHEME,Dhok Ratta
SAIDPUR SCHEME,MUHALLA EIDGAH
SAIDPUR SCHEME,Mohan Pura
SAIDPUR SCHEME,RAWALPINDI CANTT-3
SAIDPUR SCHEME,Ratta Amral
MUHALLA EIDGAH,DHOK BABU IRFAN
MUHALLA EIDGAH,Mohan Pura
MUHALLA EIDGAH,RAWALPINDI CANTT-3
MUHALLA EIDGAH,SAIDPUR SCHEME
DHOK BABU IRFAN,Gawal Mandi
DHOK BABU IRFAN,MUHALLA EIDGAH
DHOK BABU IRFAN,Mohan Pura
DHOK BABU IRFAN,PINDORA
DHOK BABU IRFAN,QAYYUMABAD
DHOK BABU IRFAN,RAWALPINDI CANTT-3
PINDORA,DHOK BABU IRFAN
PINDORA,DHOK HUKAM DAD
PINDORA,DHOK KASHMIRIAN
PINDORA,Dhoke Chiragh Din
PINDORA,Gawal Mandi
PINDORA,Jhanda Chichi
PINDORA,RAWALPINDI CANTT-3
Mohan Pura,AFANDI COLONY
Mohan Pura,DHOK BABU IRFAN
Mohan Pura,Dhok Ratta
Mohan Pura,Gawal Mandi
Mohan Pura,MUHALLA EIDGAH
Mohan Pura,QAYYUMABAD
Mohan Pura,RAWALPINDI CANTT-3
Mohan Pura,Ratta Amral
Mohan Pura,SAIDPUR SCHEME
ASGHAR MALL SCHEME,Dhok Ratta
ASGHAR MALL SCHEME,Dhoke Mangtal
ASGHAR MALL SCHEME,Purana Qila
ASGHAR MALL SCHEME,RAWALPINDI CANTT-2
DHOK KALA KHAN,DHOK ALI AKBAR
DHOK KALA KHAN,PURANA QILLA
DHOK KALA KHAN,SHAH CHAN CHARAGH
QAYYUMABAD,AFANDI COLONY
QAYYUMABAD,DHOK BABU IRFAN
QAYYUMABAD,DHOK KALA KHAN
QAYYUMABAD,DHOK KASHMIRIAN
QAYYUMABAD,Gawal Mandi
QAYYUMABAD,Mohan Pura
DHOK KASHMIRIAN,DHOK HUKAM DAD
DHOK KASHMIRIAN,DHOK KALA KHAN
DHOK KASHMIRIAN,Dhoke Chiragh Din
DHOK KASHMIRIAN,Gawal Mandi
DHOK KASHMIRIAN,PINDORA
DHOK KASHMIRIAN,QAYYUMABAD
DHOK KASHMIRIAN,Waris Khan
Ganj Mandi,AFANDI COLONY
Ganj Mandi,DHOK KALA KHAN
Ganj Mandi,Dhok Ratta
Ganj Mandi,Purana Qila
Gawal Mandi,DHOK BABU IRFAN
Gawal Mandi,DHOK HUKAM DAD
Gawal Mandi,DHOK KALA KHAN
Gawal Mandi,DHOK KASHMIRIAN
Gawal Mandi,Dhoke Chiragh Din
Gawal Mandi,Mohan Pura
Gawal Mandi,PINDORA
Gawal Mandi,QAYYUMABAD
AFANDI COLONY,DHOK KALA KHAN
AFANDI COLONY,Dhok Ratta
AFANDI COLONY,Ganj Mandi
AFANDI COLONY,Mohan Pura
AFANDI COLONY,Purana Qila
AFANDI COLONY,QAYYUMABAD
Dhoke Chiragh Din,CHAH SULTAN
Dhoke Chiragh Din,DHOK HUKAM DAD
Dhoke Chiragh Din,DHOK KASHMIRIAN
Dhoke Chiragh Din,Gawal Mandi
Dhoke Chiragh Din,Jhanda Chichi
Dhoke Chiragh Din,PINDORA
MUSLIM TOWN (WEST),Gulistan Colony
MUSLIM TOWN (WEST),Jhanda Chichi
MUSLIM TOWN (WEST),KARTARPURA
MUSLIM TOWN (WEST),KHURRAM COLONY
KHURRAM COLONY,Dhaman Syedan
