Year,Week,UC_name,cases,week_start
2023,47,AFANDI COLONY,0,2023-11-20
2023,48,AFANDI COLONY,0,2023-11-27
2023,49,AFANDI COLONY,0,2023-12-04
2023,50,AFANDI COLONY,0,2023-12-11
2023,51,AFANDI COLONY,0,2023-12-18
2023,52,AFANDI COLONY,0,2023-12-25
2024,1,AFANDI COLONY,0,2024-01-01
2024,2,AFANDI COLONY,0,2024-01-08
2024,3,AFANDI COLONY,0,2024-01-15
2024,4,AFANDI COLONY,0,2024-01-22
2024,5,AFANDI COLONY,0,2024-01-29
2024,6,AFANDI COLONY,0,2024-02-05
2024,7,AFANDI COLONY,0,2024-02-12
2024,8,AFANDI COLONY,0,2024-02-19
2024,9,AFANDI COLONY,0,2024-02-26
2024,10,AFANDI COLONY,0,2024-03-04
2024,11,AFANDI COLONY,0,2024-03-11
2024,12,AFANDI COLONY,0,2024-03-18
2024,13,AFANDI COLONY,0,2024-03-25
2024,14,AFANDI COLONY,0,2024-04-01
2024,15,AFANDI COLONY,0,2024-04-08
2024,16,AFANDI COLONY,0,2024-04-15
2024,17,AFANDI COLONY,0,2024-04-22
2024,18,AFANDI COLONY,0,2024-04-29
2024,19,AFANDI COLONY,0,2024-05-06
2024,20,AFANDI COLONY,0,2024-05-13
2024,21,AFANDI COLONY,0,2024-05-20
2024,22,AFANDI COLONY,0,2024-05-27
2024,23,AFANDI COLONY,0,2024-06-03
2024,24,AFANDI COLONY,0,2024-06-10
2024,25,AFANDI COLONY,0,2024-06-17
2024,26,AFANDI COLONY,0,2024-06-24
2024,27,AFANDI COLONY,0,2024-07-01
2024,28,AFANDI COLONY,0,2024-07-08
2024,29,AFANDI COLONY,0,2024-07-15
2024,30,AFANDI COLONY,0,2024-07-22
2024,31,AFANDI COLONY,0,2024-07-29
2024,32,AFANDI COLONY,0,2024-08-05
2024,33,AFANDI COLONY,0,2024-08-12
2024,34,AFANDI COLONY,0,2024-08-19
2024,35,AFANDI COLONY,0,2024-08-26
2024,36,AFANDI COLONY,0,2024-09-02
2024,37,AFANDI COLONY,0,2024-09-09
2024,38,AFANDI COLONY,1,2024-09-16
2024,39,AFANDI COLONY,1,2024-09-23
2024,40,AFANDI COLONY,5,2024-09-30
2024,41,AFANDI COLONY,1,2024-10-07
2024,42,AFANDI COLONY,0,2024-10-14
2024,43,AFANDI COLONY,3,2024-10-21
2024,44,AFANDI COLONY,1,2024-10-28
2024,45,AFANDI COLONY,2,2024-11-04
2024,46,AFANDI COLONY,1,2024-11-11
2024,47,AFANDI COLONY,0,2024-11-18
2024,48,AFANDI COLONY,0,2024-11-25
2024,49,AFANDI COLONY,0,2024-12-02
2024,50,AFANDI COLONY,0,2024-12-09
2024,51,AFANDI COLONY,0,2024-12-16
2024,52,AFANDI COLONY,0,2024-12-23
2021,1,AMARPURA,0,2021-01-04
2021,2,AMARPURA,0,2021-01-11
2021,3,AMARPURA,0,2021-01-18
